player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass,norm
Julian Phillips,phillju01,2302.0,3.1,-1.0,0,0,Rotational,julian phillips
Julian Strawther,strawju01,2790.0,2.8000000000000003,-1.6,0,0,Rotational,julian strawther
Julius Randle,randlju01,25348.0,56.8,19.3,3,1,All-Star,julius randle
Justin Champagnie,champju01,3301.0,7.0,0.8999999999999999,0,0,Rotational,justin champagnie
Justin Edwards,edwarju01,2132.0,2.6,-0.3,0,0,Rotational,justin edwards
KJ Simpson,simpskj01,1356.0,-0.7000000000000001,-1.1,0,0,Rotational,kj simpson
Kam Jones,joneska03,616.0,0.0,-0.6,0,0,Rotational,kam jones
Karl-Anthony Towns,townska01,24294.0,94.8,38.4,6,0,All-Star,karl-anthony towns
Kawhi Leonard,leonaka01,25368.0,111.9,55.1,7,6,Superstar,kawhi leonard
Keaton Wallace,wallake01,1037.0,1.1,-0.1,0,0,Rotational,keaton wallace
Keegan Murray,murrake02,8373.0,14.1,1.6,0,0,Rotational,keegan murray
Kel'el Ware,wareke01,3126.0,10.3,2.5,0,0,Rotational,kel'el ware
Keldon Johnson,johnske04,12511.0,23.2,3.3,0,0,Starter,keldon johnson
Kelly Olynyk,olynyke01,23007.0,58.8,16.8,0,0,All-Star,kelly olynyk
Kenrich Williams,willike04,8631.0,18.4,3.1,0,0,Rotational,kenrich williams
Kentavious Caldwell-Pope,caldwke01,28124.0,49.0,7.2,0,0,Starter,kentavious caldwell-pope
Keon Ellis,elliske01,5953.0,11.9,4.0,0,0,Rotational,keon ellis
Keshad Johnson,johnske10,378.0,1.0,0.1,0,0,Rotational,keshad johnson
Kevin Durant,duranke01,45749.0,193.0,96.4,16,11,Superstar,kevin durant
Kevin Huerter,huertke01,18343.0,26.1,4.8,0,0,Starter,kevin huerter
Kevin Love,loveke01,29358.0,98.7,37.3,5,2,All-Star,kevin love
Kevin McCullar Jr.,mcculke01,184.0,0.2,0.0,0,0,Rotational,kevin mccullar jr.
Kevin Porter Jr.,porteke02,10153.0,11.2,3.0,0,0,Starter,kevin porter jr.
Kevon Harris,harrike01,463.0,0.6,-0.2,0,0,Rotational,kevon harris
Kevon Looney,looneke01,10617.0,38.2,6.2,0,0,Starter,kevon looney
Keyonte George,georgke01,5918.0,4.1,-0.1999999999999999,0,0,Rotational,keyonte george
Khaman Maluach,maluakh01,411.0,0.8,-0.2,0,0,Rotational,khaman maluach
Khris Middleton,middlkh01,27544.0,60.6,15.5,3,0,All-Star,khris middleton
Klay Thompson,thompkl01,29306.0,57.6,17.4,5,1,All-Star,klay thompson
Kobe Brown,brownko01,2592.0,3.6,-0.5,0,0,Rotational,kobe brown
Kobe Sanders,sandeko01,1351.0,1.4,-0.3,0,0,Rotational,kobe sanders
Koby Brea,breako01,84.0,0.2,0.0,0,0,Rotational,koby brea
Kon Knueppel,knuepko01,2551.0,8.0,3.1,0,0,Rotational,kon knueppel
Kris Dunn,dunnkr01,11727.0,15.8,2.8,0,0,Starter,kris dunn
Kris Murray,murrakr01,3721.0,3.6,-0.7,0,0,Rotational,kris murray
Kyle Anderson,anderky01,18032.0,46.0,16.5,0,0,Starter,kyle anderson
Kyle Filipowski,filipky01,3323.0,5.6,0.8,0,0,Rotational,kyle filipowski
Kyle Kuzma,kuzmaky01,20597.0,15.3,0.6000000000000001,0,0,Starter,kyle kuzma
Kyle Lowry,lowryky01,40167.0,119.5,44.3,6,1,Superstar,kyle lowry
Kyrie Irving,irvinky01,29120.0,98.3,47.4,9,0,All-Star,kyrie irving
Kyshawn George,georgky01,3193.0,0.7,-0.6000000000000001,0,0,Rotational,kyshawn george
LaMelo Ball,ballla01,9392.0,19.7,12.5,1,0,All-Star,lamelo ball
Lachlan Olbrich,olbrila01,344.0,0.5,-0.1,0,0,Rotational,lachlan olbrich
Landry Shamet,shamela01,11362.0,19.3,0.5,0,0,Starter,landry shamet
Larry Nance Jr.,nancela02,15497.0,43.4,12.2,0,0,Starter,larry nance jr.
Lauri Markkanen,markkla01,15401.0,36.7,12.1,1,0,All-Star,lauri markkanen
Leonard Miller,millele01,1522.0,3.6,0.4,0,0,Rotational,leonard miller
Liam McNeeley,mcneeli01,368.0,0.9,0.1,0,0,Rotational,liam mcneeley
Lindy Waters III,waterli01,3117.0,5.2,0.1999999999999999,0,0,Rotational,lindy waters iii
Lonzo Ball,balllo01,9692.0,13.2,6.800000000000001,0,0,Rotational,lonzo ball
Luguentz Dort,dortlu01,12468.0,18.6,-0.2999999999999999,0,0,Starter,luguentz dort
Luka Garza,garzalu01,2091.0,8.3,1.2,0,0,Rotational,luka garza
Luke Kennard,kennalu01,15436.0,36.0,8.0,0,0,Starter,luke kennard
Luke Kornet,kornelu01,7149.0,27.5,7.5,0,0,Starter,luke kornet
Luke Travers,travelu01,191.0,0.0,-0.2,0,0,Rotational,luke travers
Mac McClung,mccluma01,371.0,0.1,-0.2,0,0,Rotational,mac mcclung
Malaki Branham,branhma01,3846.0,0.1,-2.9000000000000004,0,0,Rotational,malaki branham
Malik Monk,monkma01,13307.0,16.1,3.1,0,0,Starter,malik monk
Marcus Sasser,sassema01,2619.0,3.5,0.0999999999999999,0,0,Rotational,marcus sasser
Marcus Smart,smartma01,21175.0,36.9,7.7,0,0,Starter,marcus smart
Mark Sears,searsma01,26.0,0.0,0.0,0,0,Rotational,mark sears
Mark Williams,willima07,3923.0,15.9,3.7,0,0,Rotational,mark williams
Marvin Bagley III,baglema01,11333.0,25.5,2.6,0,0,Starter,marvin bagley iii
Mason Plumlee,plumlma01,23343.0,72.8,19.7,0,0,All-Star,mason plumlee
Matas Buzelis,buzelma01,3759.0,4.5,0.3,0,0,Rotational,matas buzelis
Matisse Thybulle,thybuma01,8949.0,17.5,6.5,0,0,Rotational,matisse thybulle
Max Christie,chrisma02,7954.0,9.4,-0.8,0,0,Rotational,max christie
Max Shulga,shulgma01,36.0,0.0,-0.1,0,0,Rotational,max shulga
Max Strus,strusma01,8172.0,15.9,3.4000000000000004,0,0,Rotational,max strus
Maxi Kleber,klebima01,10288.0,20.6,3.5,0,0,Starter,maxi kleber
Maxime Raynaud,raynama01,1964.0,3.6,-0.2,0,0,Rotational,maxime raynaud
Micah Peavy,peavymi01,913.0,0.4,-0.7,0,0,Rotational,micah peavy
Michael Porter Jr.,portemi01,11725.0,29.4,8.8,0,0,Starter,michael porter jr.
Mikal Bridges,bridgmi01,24169.0,57.4,18.7,0,0,All-Star,mikal bridges
Mike Conley,conlemi01,39617.0,113.0,42.3,1,1,Superstar,mike conley
Miles Bridges,bridgmi02,15457.0,27.8,8.3,0,0,Starter,miles bridges
Miles Kelly,kellymi02,134.0,0.0,-0.1,0,0,Rotational,miles kelly
Miles McBride,mcbrimi01,5133.0,10.4,2.0,0,0,Rotational,miles mcbride
Mohamed Diawara,diawamo01,634.0,0.9,0.0,0,0,Rotational,mohamed diawara
Moritz Wagner,wagnemo01,7200.0,19.0,3.4,0,0,Rotational,moritz wagner
Moses Moody,moodymo01,5769.0,11.6,1.6,0,0,Rotational,moses moody
Mouhamed Gueye,gueyemo02,1785.0,4.1000000000000005,0.4,0,0,Rotational,mouhamed gueye
Moussa Cisse,cissemo01,530.0,1.3,-0.1,0,0,Rotational,moussa cisse
Myles Turner,turnemy01,20366.0,51.6,13.5,0,0,All-Star,myles turner
Myron Gardner,gardnmy01,411.0,1.4,0.3,0,0,Rotational,myron gardner
N'Faly Dante,nfalyda01,66.0,0.3,0.1,0,0,Rotational,n'faly dante
Nae'Qwan Tomlin,tomlina01,1067.0,2.3000000000000003,-0.1,0,0,Rotational,nae'qwan tomlin
Naji Marshall,marshna01,8587.0,14.6,1.8,0,0,Rotational,naji marshall
Naz Reid,reidna01,10479.0,24.8,7.4,0,0,Starter,naz reid
Neemias Queta,quetane01,3271.0,14.2,2.9,0,0,Rotational,neemias queta
Nic Claxton,claxtni01,9944.0,30.9,8.2,0,0,Starter,nic claxton
Nick Richards,richani01,7320.0,17.5,-2.3,0,0,Rotational,nick richards
Nick Smith Jr.,smithni01,2473.0,-0.9,-2.3,0,0,Rotational,nick smith jr.
Nickeil Alexander-Walker,alexani01,12895.0,17.8,3.6,0,0,Starter,nickeil alexander-walker
Nicolas Batum,batumni01,35459.0,79.1,29.5,0,0,All-Star,nicolas batum
Nique Clifford,cliffni01,1882.0,-0.6,-1.4,0,0,Rotational,nique clifford
Noa Essengue,essenno01,6.0,-0.1,0.0,0,0,Rotational,noa essengue
Noah Clowney,clownno01,3192.0,2.5,-1.0,0,0,Rotational,noah clowney
Noah Penda,pendano01,757.0,1.1,0.1,0,0,Rotational,noah penda
Norman Powell,powelno01,20318.0,43.9,11.0,1,0,All-Star,norman powell
OG Anunoby,anunoog01,18780.0,40.2,11.3,0,0,Starter,og anunoby
Obi Toppin,toppiob01,6662.0,17.7,5.2,0,0,Rotational,obi toppin
Ochai Agbaji,agbajoc01,8176.0,6.4,-2.9,0,0,Rotational,ochai agbaji
Olivier-Maxence Prosper,prospol01,1904.0,3.8,0.4,0,0,Rotational,olivier-maxence prosper
Onyeka Okongwu,okongon01,9208.0,30.9,5.9,0,0,Starter,onyeka okongwu
Orlando Robinson,robinor01,2294.0,4.5,-0.5,0,0,Rotational,orlando robinson
Oscar Tshiebwe,tshieos01,745.0,2.5,0.0,0,0,Rotational,oscar tshiebwe
Oso Ighodaro,ighodos01,2853.0,6.300000000000001,0.7,0,0,Rotational,oso ighodaro
Ousmane Dieng,diengou01,3537.0,2.3,-1.1,0,0,Rotational,ousmane dieng
PJ Hall,hallpj01,494.0,1.4,0.0,0,0,Rotational,pj hall
Paolo Banchero,banchpa01,9313.0,16.2,6.9,1,0,All-Star,paolo banchero
Pascal Siakam,siakapa01,24351.0,65.0,23.7,4,1,All-Star,pascal siakam
Pat Connaughton,connapa01,11736.0,25.3,4.7,0,0,Starter,pat connaughton
Pat Spencer,spencpa01,1505.0,1.7,-0.1,0,0,Rotational,pat spencer
Patrick Williams,willipa01,8952.0,8.4,-1.5,0,0,Rotational,patrick williams
Paul George,georgpa01,31651.0,92.1,45.4,9,2,All-Star,paul george
Paul Reed,reedpa01,4163.0,15.9,3.7,0,0,Rotational,paul reed
Payton Pritchard,pritcpa01,9564.0,29.4,8.6,0,0,Starter,payton pritchard
Pelle Larsson,larsspe01,2631.0,5.5,0.2,0,0,Rotational,pelle larsson
Pete Nance,nancepe01,1040.0,1.3,-0.4,0,0,Rotational,pete nance
Peyton Watson,watsope01,4928.0,7.9,0.3,0,0,Rotational,peyton watson
Precious Achiuwa,achiupr01,9765.0,18.0,-0.0999999999999999,0,0,Rotational,precious achiuwa
Quentin Grimes,grimequ01,11189.0,19.0,3.8,0,0,Starter,quentin grimes
Quenton Jackson,jacksqu01,1424.0,2.6,0.1,0,0,Rotational,quenton jackson
Quinten Post,postqu01,1845.0,3.6,0.7,0,0,Rotational,quinten post
Rasheer Fleming,flemira01,673.0,0.8,-0.3,0,0,Rotational,rasheer fleming
RayJ Dennis,dennira01,482.0,-0.5,-0.4,0,0,Rotational,rayj dennis
Rayan Rupert,ruperra01,3237.0,1.2,-2.7,0,0,Rotational,rayan rupert
Reed Sheppard,sheppre01,2801.0,6.7,2.6,0,0,Rotational,reed sheppard
Riley Minix,minixri01,123.0,0.4,0.2,0,0,Rotational,riley minix
Rob Dillingham,dilliro01,2456.0,-2.1,-2.9,0,0,Rotational,rob dillingham
Rocco Zikarsky,zikarro01,36.0,0.2,0.0,0,0,Rotational,rocco zikarsky
Ron Harper Jr.,harpero02,387.0,1.0,0.3,0,0,Rotational,ron harper jr.
Ron Holland,hollaro01,2817.0,4.6,-0.3,0,0,Rotational,ron holland
Royce O'Neale,onealro01,19884.0,38.3,11.0,0,0,Starter,royce o'neale
Rudy Gobert,goberru01,27810.0,124.8,35.8,3,2,Superstar,rudy gobert
Rui Hachimura,hachiru01,12738.0,20.5,0.0,0,0,Starter,rui hachimura
Russell Westbrook,westbru01,45152.0,114.5,60.4,9,8,Superstar,russell westbrook
Ryan Dunn,dunnry01,2765.0,3.6,-0.2999999999999999,0,0,Rotational,ryan dunn
Ryan Kalkbrenner,kalkbry01,1479.0,5.7,1.4,0,0,Rotational,ryan kalkbrenner
Ryan Nembhard,nembhry01,1171.0,0.8,-0.6,0,0,Rotational,ryan nembhard
Ryan Rollins,rolliry01,3414.0,5.3,1.7,0,0,Rotational,ryan rollins
Saddiq Bey,beysa01,13179.0,24.0,5.2,0,0,Starter,saddiq bey
Sam Hauser,hausesa01,6664.0,18.3,5.0,0,0,Rotational,sam hauser
Sam Merrill,merrisa01,4197.0,10.5,2.2,0,0,Rotational,sam merrill
Sandro Mamukelashvili,mamuksa01,4610.0,12.2,3.0,0,0,Rotational,sandro mamukelashvili
Santi Aldama,aldamsa01,6518.0,14.6,4.800000000000001,0,0,Rotational,santi aldama
Scoot Henderson,hendesc01,4272.0,1.1,-1.8,0,0,Rotational,scoot henderson
Scottie Barnes,barnesc01,12204.0,27.2,13.0,2,0,All-Star,scottie barnes
Scotty Pippen Jr.,pippesc02,2454.0,5.8,2.1,0,0,Rotational,scotty pippen jr.
Shai Gilgeous-Alexander,gilgesh01,17550.0,75.39999999999999,36.9,4,3,Superstar,shai gilgeous-alexander
Sharife Cooper,coopesh01,739.0,0.3999999999999999,-0.4,0,0,Rotational,sharife cooper
Sidy Cissoko,cissosi01,1804.0,1.3,-0.8999999999999999,0,0,Rotational,sidy cissoko
Simone Fontecchio,fontesi01,6464.0,8.3,0.6,0,0,Rotational,simone fontecchio
Sion James,jamessi01,1843.0,3.1,0.0,0,0,Rotational,sion james
Spencer Jones,jonessp01,1542.0,2.5,-0.3,0,0,Rotational,spencer jones
Stephen Curry,curryst01,36304.0,147.4,77.4,12,11,Superstar,stephen curry
Stephon Castle,castlst01,4200.0,6.9,1.4,0,0,Rotational,stephon castle
Steven Adams,adamsst01,20468.0,63.9,12.8,0,0,All-Star,steven adams
Svi Mykhailiuk,mykhasv01,8774.0,6.2,-0.8999999999999999,0,0,Rotational,svi mykhailiuk
T.J. McConnell,mccontj01,15884.0,34.6,9.8,0,0,Starter,t.j. mcconnell
Taelon Peter,peterta01,492.0,0.0,-0.3,0,0,Rotational,taelon peter
Tari Eason,easonta01,5216.0,11.8,2.7,0,0,Rotational,tari eason
Taurean Prince,princta02,15918.0,16.6,-0.4000000000000001,0,0,Starter,taurean prince
Taylor Hendricks,hendrta01,3167.0,3.5,-0.1,0,0,Rotational,taylor hendricks
Terance Mann,mannte01,12044.0,26.3,2.2,0,0,Starter,terance mann
Terrence Shannon Jr.,shannte01,877.0,1.6,-0.2,0,0,Rotational,terrence shannon jr.
Terry Rozier,roziete01,20397.0,34.5,11.8,0,0,Starter,terry rozier
Thanasis Antetokounmpo,antetth01,1668.0,2.1,-0.9,0,0,Rotational,thanasis antetokounmpo
Thomas Bryant,bryanth01,8686.0,29.9,6.3,0,0,Starter,thomas bryant
Tim Hardaway Jr.,hardati02,26446.0,40.0,5.2,0,0,Starter,tim hardaway jr.
Tobias Harris,harrito02,41800.0,103.4,32.4,0,0,Superstar,tobias harris
Tolu Smith,smithto05,159.0,0.6,0.1,0,0,Rotational,tolu smith
Tony Bradley,bradlto01,3691.0,12.6,1.5,0,0,Rotational,tony bradley
Tosan Evbuomwan,evbuoto01,1407.0,1.6,-0.4,0,0,Rotational,tosan evbuomwan
Toumani Camara,camarto01,7018.0,12.0,1.4,0,0,Rotational,toumani camara
Trae Young,youngtr01,17390.0,46.2,20.1,4,0,All-Star,trae young
Trayce Jackson-Davis,jackstr02,3089.0,11.1,2.6,0,0,Rotational,trayce jackson-davis
Tre Johnson,johnstr03,1443.0,-0.7,-1.1,0,0,Rotational,tre johnson
Tre Jones,jonestr01,9101.0,23.1,4.8,0,0,Starter,tre jones
Tre Mann,manntr01,5512.0,3.1,-1.5,0,0,Rotational,tre mann
Trendon Watford,watfotr01,4684.0,7.9,0.2,0,0,Rotational,trendon watford
Trey Alexander,alexatr01,228.0,0.0,-0.2,0,0,Rotational,trey alexander
Trey Jemison,jemistr01,2012.0,2.4,-2.0,0,0,Rotational,trey jemison
Trey Murphy III,murphtr02,9197.0,24.4,8.299999999999999,0,0,Starter,trey murphy iii
Tristan Vukcevic,vukcetr01,1337.0,1.6,0.4,0,0,Rotational,tristan vukcevic
Ty Jerome,jeromty01,4479.0,11.1,3.4,0,0,Rotational,ty jerome
Tyler Herro,herroty01,12796.0,22.4,9.1,1,0,All-Star,tyler herro
Tyler Kolek,kolekty01,1023.0,1.7999999999999998,0.1999999999999999,0,0,Rotational,tyler kolek
Tyrese Haliburton,halibty01,13694.0,44.5,22.0,2,0,All-Star,tyrese haliburton
Tyrese Martin,martity01,2935.0,1.1,-0.9,0,0,Rotational,tyrese martin
Tyrese Maxey,maxeyty01,12848.0,35.2,13.5,2,0,All-Star,tyrese maxey
Tyrese Proctor,proctty01,545.0,0.7,-0.1,0,0,Rotational,tyrese proctor
Tyson Etienne,etienty01,531.0,0.4,-0.4,0,0,Rotational,tyson etienne
Tyus Jones,jonesty01,16382.0,35.9,9.0,0,0,Starter,tyus jones
VJ Edgecombe,edgecvj01,2623.0,4.4,1.0,0,0,Rotational,vj edgecombe
Victor Wembanyama,wembavi01,5499.0,17.5,13.1,2,0,All-Star,victor wembanyama
Vince Williams Jr.,willivi01,3680.0,3.4,0.6000000000000001,0,0,Rotational,vince williams jr.
Vit Krejci,krejcvi01,2549.0,3.9,-0.0999999999999999,0,0,Rotational,vit krejci
Vladislav Goldin,goldivl01,24.0,0.1,0.0,0,0,Rotational,vladislav goldin
Walker Kessler,kesslwa01,5090.0,17.1,5.1,0,0,Rotational,walker kessler
Wendell Carter Jr.,cartewe01,14110.0,36.7,5.5,0,0,Starter,wendell carter jr.
Wendell Moore Jr.,moorewe01,1286.0,1.6,-0.2,0,0,Rotational,wendell moore jr.
Will Richard,richawi02,1377.0,2.5,0.1,0,0,Rotational,will richard
Will Riley,rileywi01,1633.0,0.4,-1.0,0,0,Rotational,will riley
Yang Hansen,yangha01,300.0,-0.5,-0.6,0,0,Rotational,yang hansen
Yves Missi,missiyv01,3253.0,6.300000000000001,-0.4,0,0,Rotational,yves missi
Zaccharie Risacher,risacza01,3346.0,4.1,-0.8999999999999999,0,0,Rotational,zaccharie risacher
Zach Collins,colliza01,8298.0,14.9,1.5,0,0,Rotational,zach collins
Zach Edey,edeyza01,1700.0,5.7,0.8999999999999999,0,0,Rotational,zach edey
Zach LaVine,lavinza01,25287.0,43.8,16.4,2,0,All-Star,zach lavine
Zeke Nnaji,nnajize01,3633.0,7.6,-0.7,0,0,Rotational,zeke nnaji
Ziaire Williams,willizi02,5767.0,6.2,-1.4,0,0,Rotational,ziaire williams
Zion Williamson,willizi01,8555.0,30.4,14.1,2,0,All-Star,zion williamson
